Port_Code,Region
FJSUV,MB-OCEANIA
CKRAR,MB-OCEANIA
PFPPT,MB-OCEANIA
TOTBU,MB-OCEANIA
NRINU,MB-OCEANIA
SBHIR,MB-OCEANIA
WFFUT,MB-OCEANIA
WSAPW,MB-OCEANIA
FJRBI,MB-OCEANIA
PFRFP,MB-OCEANIA
FJVUD,MB-OCEANIA
FJRTA,MB-OCEANIA
FJSVU,MB-OCEANIA
SBVAO,MB-OCEANIA
KITBF,MB-OCEANIA
KITA1,MB-OCEANIA
PF1AE,MB-OCEANIA
FMPNI,MB-OCEANIA
WSSAV,MB-OCEANIA
PFTUB,MB-OCEANIA
SBTLG,MB-OCEANIA
KIVA1,MB-OCEANIA
FMWN2,MB-OCEANIA
SBAOB,MB-OCEANIA
SBATD,MB-OCEANIA
PFTKV,MB-OCEANIA
PFTIH,MB-OCEANIA
FMTKK,MB-OCEANIA
NUIUE,MB-OCEANIA
KITA2,MB-OCEANIA
PFUAH,MB-OCEANIA
FJVBV,MB-OCEANIA
PFMKP,MB-OCEANIA
PFREA,MB-OCEANIA
TOEUA,MB-OCEANIA
SBPRS,MB-OCEANIA
KRYOS,MB-FAR EAST
KIPHO,MB-OCEANIA
KIFIS,MB-OCEANIA
FJVAU,MB-OCEANIA
PNAA1,MB-OCEANIA
PFBOB,MB-OCEANIA
FJTVU,MB-OCEANIA
FMYAP,MB-OCEANIA
CKAIT,MB-OCEANIA
KIAAK,MB-OCEANIA
FJYAS,MB-OCEANIA
KIAIS,MB-OCEANIA
FJBFJ,MB-OCEANIA
SBCHY,MB-OCEANIA
PFFAA,MB-OCEANIA
PFGMR,MB-OCEANIA
PFAHU,MB-OCEANIA
PFZTA,MB-OCEANIA
FJXXX,MB-OCEANIA
CNZUH,MB-FAR EAST
CNXIT,MB-FAR EAST
SBEGM,MB-OCEANIA
KITSU,MB-OCEANIA
KIWNI,MB-OCEANIA
PF1AR,MB-OCEANIA
PFAPK,MB-OCEANIA
PFPUK,MB-OCEANIA
FJVAT,MB-OCEANIA
CKAIU,MB-OCEANIA
SBLEV,MB-OCEANIA
PFMVT,MB-OCEANIA
PFRV4,MB-OCEANIA
WFSIG,MB-OCEANIA
KIABF,MB-OCEANIA
PFHHZ,MB-OCEANIA
PFTTI,MB-OCEANIA
PFFAC,MB-OCEANIA
PFXMH,MB-OCEANIA
PFHOI,MB-OCEANIA
FJBVF,MB-OCEANIA
SBRRI,MB-OCEANIA
FJPTF,MB-OCEANIA
ASPPG,MB-OCEANIA
WFMAU,MB-OCEANIA
WSSAL,MB-OCEANIA
SBTAA,MB-OCEANIA
KITRW,MB-OCEANIA
PFUTU,MB-OCEANIA
FJVTF,MB-OCEANIA
TOVAV,MB-OCEANIA
SBBNY,MB-OCEANIA
FJLBS,MB-OCEANIA
PFRUR,MB-OCEANIA
SBRBV,MB-OCEANIA
PFTKX,MB-OCEANIA
FMKSA,MB-OCEANIA
PFVAI,MB-OCEANIA
SBVIU,MB-OCEANIA
FJKAY,MB-OCEANIA
NUALO,MB-OCEANIA
WSAAU,MB-OCEANIA
TKAFU,MB-OCEANIA
PFAUQ,MB-OCEANIA
KIBBG,MB-OCEANIA
KICIS,MB-OCEANIA
FJLKB,MB-OCEANIA
FJMFJ,MB-OCEANIA
TONFO,MB-OCEANIA
ASOFU,MB-OCEANIA
TOPAN,MB-OCEANIA
KIMTK,MB-OCEANIA
SBANH,MB-OCEANIA
PFAXR,MB-OCEANIA
PFKKR,MB-OCEANIA
PFTJN,MB-OCEANIA
FJBXL,MB-OCEANIA
PFMAU,MB-OCEANIA
PFNUK,MB-OCEANIA
CNZJG,MB-FAR EAST
TZZNZ,MB-AFR-IND OCN
UAYUZ,MB-MED EXCL NAF
CNYUY,MB-FAR EAST
CNYIK,MB-FAR EAST
SBNO1,MB-OCEANIA
PFTKP,MB-OCEANIA
PFHIX,MB-OCEANIA
FJLUC,MB-OCEANIA
WFU2E,MB-OCEANIA
FJTTL,MB-OCEANIA
FJYA1,MB-OCEANIA
SBAKS,MB-OCEANIA
SBBAS,MB-OCEANIA
PFUAP,MB-OCEANIA
SBXYA,MB-OCEANIA
PFFHZ,MB-OCEANIA
PFRGI,MB-OCEANIA
KIBEZ,MB-OCEANIA
SBFRE,MB-OCEANIA
PFU2R,MB-OCEANIA
KITMN,MB-OCEANIA
PFAAA,MB-OCEANIA
PFTAI,MB-OCEANIA
KIKUC,MB-OCEANIA
FJMAL,MB-OCEANIA
PFNAU,MB-OCEANIA
KIOA1,MB-OCEANIA
PFPKP,MB-OCEANIA
PFVHZ,MB-OCEANIA
FJELL,MB-OCEANIA
FJPHR,MB-OCEANIA
CNZUU,MB-FAR EAST
CNZHE,MB-FAR EAST
JPYKK,MB-FAR EAST
SBRNL,MB-OCEANIA
FJLTK,MB-OCEANIA
SBMR1,MB-OCEANIA
FJNAN,MB-OCEANIA
PFAHE,MB-OCEANIA
SBNEM,MB-OCEANIA
KINIG,MB-OCEANIA
SBMUA,MB-OCEANIA
CNZAP,MB-FAR EAST
FJSIN,MB-OCEANIA
FJLEV,MB-OCEANIA
SBNNB,MB-OCEANIA
SBSHH,MB-OCEANIA
CKAVA,MB-OCEANIA
ASTAV,MB-OCEANIA
FJICI,MB-OCEANIA
PFFAV,MB-OCEANIA
FJCST,MB-OCEANIA
KICXI,MB-OCEANIA
ASFTI,MB-OCEANIA
TVFUN,MB-OCEANIA
PFHUH,MB-OCEANIA
WSLAV,MB-OCEANIA
CKMGS,MB-OCEANIA
FJNAM,MB-OCEANIA
TONTT,MB-OCEANIA
KIOOT,MB-OCEANIA
SBOTV,MB-OCEANIA
SBGTA,MB-OCEANIA
TKNKU,MB-OCEANIA
FMSA1,MB-OCEANIA
PNPCN,MB-OCEANIA
CKARU,MB-OCEANIA
SBAU2,MB-OCEANIA
TKFKO,MB-OCEANIA
SBSSG,MB-OCEANIA
TOHPA,MB-OCEANIA
