portid,1,2,3,4,5,6,7,8,9,10,11
BDCGP,20.5102040816327,20.5102040816327,20.5102040816327,20.5102040816327,18.4213649851632,18.4213649851632,18.4213649851632,18.4213649851632,18.4213649851632,18.4213649851632,18.4213649851632
CNDLC,48.62032540833695,48.62032540833695,48.62032540833695,48.62032540833695,48.62032540833695,67.10440910195439,87.5368421052632,87.5368421052632,87.5368421052632,87.5368421052632,87.5368421052632
CNLYG,51.3802816901408,51.3802816901408,51.3802816901408,51.3802816901408,51.3802816901408,57.86425869190932,65.03169138046488,76.5306122448979,76.5306122448979,76.5306122448979,76.5306122448979
CNNGB,45.8588911722634,45.8588911722634,45.8588911722634,45.8588911722634,43.0564784053156,56.267391706994644,70.87082596012378,110.217881292261,58.2142857142857,102.7460896289161,109.82005738372732
CNNSA,47.71395668389715,47.71395668389715,47.71395668389715,47.71395668389715,33.4235976789168,43.703495007144205,55.06696408256437,79.47913815924284,115.068493150685,125.50312572322814,137.329042638777
CNQZJ,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
CNSHA,75.82836771072076,75.82836771072076,75.82836771072076,75.82836771072076,80.7346764148284,87.1416309012875,93.93772400595265,123.7125119135865,137.31093281909298,147.903331156107,135.679886685552
CNSHK,78.50104396647764,78.50104396647764,78.50104396647764,78.50104396647764,77.16527243242382,80.14795788042548,83.4450388499994,98.2025316455696,123.78615117270407,143.71433921873552,99.7907324364722
CNSWA,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038,49.746835443038
CNTAO,66.0130718954248,66.0130718954248,66.0130718954248,66.0130718954248,66.0130718954248,110.887573964497,90.3296703296704,99.8932353681958,131.097922848665,163.241704134553,199.671322925226
CNTXG,25.625,25.625,25.625,25.625,25.625,36.69930786574966,48.94092380276681,68.58050453260138,97.2121212121212,97.2121212121212,97.2121212121212
CNXMN,35.75,35.75,35.75,35.75,35.75,35.75,83.6301369863013,100.74149420033449,125.6873332871275,145.1187265565745,145.1187265565745
CNYPG,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867,31.907514450867
HKHKG,30.4225352112676,30.4225352112676,30.4225352112676,30.4225352112676,31.565062388591798,31.5720524017467,37.40644076154206,46.76671981219559,60.41262832105353,71.0420168067226,71.0420168067226
IDBLW,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371,22.0674157303371
IDJKT,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027,33.8065661047027
IDSRG,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
IDSUB,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035,31.6814159292035
JPHKT,41.76,41.76,41.76,41.76,41.76,41.76,41.76,41.76,41.76,41.76,41.76
JPMOJ,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884,43.2558139534884
JPNGO,46.9253731343283,46.9253731343283,46.9253731343283,46.9253731343283,50.4938774745118,55.1538461538462,55.1538461538462,55.1538461538462,55.1538461538462,55.1538461538462,55.1538461538462
JPOIT,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535,17.0232558139535
JPOMZ,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645,20.1290322580645
