POL_POD,TD_Exp,TH_Exp,TEUS
BDCGP-CNNGB,19,0,1
BDCGP-CNSHA,21,0,70
BDCGP-CNSHA,21,12,5
BDCGP-CNSHK,25,0,4
BDCGP-CNTAO,22,12,3
BDCGP-JPNGO,35,12,1
BDCGP-JPTYO,31,12,4
BDCGP-JPUKB,37,0,1
BDCGP-JPUKB,39,12,1
BDCGP-JPYOK,35,0,2
BDCGP-MYPKG,9,12,431
BDCGP-MYPKG,13,0,88
BDCGP-PHDVO,24,12,1
BDCGP-PHMNL,25,12,7
BDCGP-PHMNL,28,0,8
BDCGP-PHSFS,20,0,1
BDCGP-SGSIN,8,12,998
BDCGP-SGSIN,10,12,595
BDCGP-THLCH,17,0,1
BDCGP-THLCH,19,12,2
BDCGP-TWKHH,18,12,6
BDCGP-TWKHH,21,0,9
BDCGP-VNHPH,21,12,1
BDCGP-VNSGN,12,12,8
CNDLC-BDCGP,28,12,3
CNDLC-BDCGP,31,12,10
CNDLC-CNNGB,7,12,3
CNDLC-CNNSA,16,0,55
CNDLC-CNSHA,5,12,458
CNDLC-CNSHK,14,0,124
CNDLC-CNTAO,5,0,145
CNDLC-CNTAO,7,0,264
CNDLC-IDBLW,22,12,6
CNDLC-IDJKT,17,12,151
CNDLC-IDSRG,29,0,2
CNDLC-IDSUB,19,12,88
CNDLC-KHKOS,38,0,4
CNDLC-MMRGN,29,0,3
CNDLC-MMRGN,29,12,7
CNDLC-MYPKG,22,0,5
CNDLC-MYPKG,23,0,2
CNDLC-MYPKG,27,0,51
CNDLC-PHBTG,27,12,5
CNDLC-PHCEB,30,0,1
CNDLC-PHCGY,32,0,1
CNDLC-PHDVO,26,0,4
CNDLC-PHMNL,22,0,106
CNDLC-PHSFS,25,0,3
CNDLC-SGSIN,14,0,131
CNDLC-SGSIN,19,12,1
CNDLC-THBKK,16,12,11
CNDLC-THLCH,14,0,90
CNDLC-VNHPH,30,12,2
CNLYG-BDCGP,31,12,2
CNLYG-CNSHK,14,0,3
CNLYG-CNTAO,3,0,263
CNLYG-IDJKT,15,12,217
CNLYG-IDSUB,17,12,100
CNLYG-MMRGN,27,0,3
CNLYG-MMRGN,27,12,3
CNLYG-MYPKG,20,0,3
CNLYG-PHDVO,25,12,11
CNLYG-PHGES,26,12,1
CNLYG-PHMNL,21,12,1
CNLYG-PHMNL,26,0,1
CNLYG-SGSIN,12,0,59
CNNGB-BDCGP,20,0,257
CNNGB-IDJKT,12,12,428
CNNGB-IDSUB,16,12,70
CNNGB-MMRGN,25,12,5
CNNGB-MYPKG,12,0,265
CNNGB-PHMNL,7,12,207
CNNGB-THBKK,9,12,42
CNNGB-THLCH,7,0,251
CNNGB-THLCH,8,0,705
CNNGB-TWKEL,4,0,95
CNNGB-TWKHH,5,12,22
CNNGB-TWTXG,5,0,57
CNNGB-VNHPH,13,0,69
CNNGB-VNSGN,6,12,388
CNNSA-BDCGP,15,12,178
CNNSA-IDBLW,19,0,1
CNNSA-IDBLW,29,12,4
CNNSA-IDJKT,7,0,50
CNNSA-IDJKT,13,12,153
CNNSA-IDSRG,9,0,87
CNNSA-IDSUB,10,12,91
CNNSA-KRPUS,15,12,16
CNNSA-MMRGN,18,12,5
CNNSA-MMRGN,21,12,3
CNNSA-MYPEN,10,12,51
CNNSA-MYPEN,13,12,2
CNNSA-MYPKG,8,0,110
CNNSA-MYPKG,9,0,293
CNNSA-PHBTG,3,12,25
CNNSA-PHCEB,6,0,144
CNNSA-PHCGY,8,0,96
CNNSA-PHDVO,9,0,166
CNNSA-PHDVO,10,12,59
CNNSA-PHMNL,4,12,128
CNNSA-PHMNL,6,12,396
CNNSA-PHSFS,5,12,54
CNNSA-SGSIN,6,0,91
CNNSA-SGSIN,16,0,37
CNNSA-SGSIN,22,12,32
CNNSA-THLCH,7,12,305
CNNSA-THLCH,16,12,11
CNNSA-THLCH,18,0,12
CNNSA-THLCH,28,0,9
CNNSA-THLCH,31,12,12
CNQZJ-IDJKT,10,0,52
CNQZJ-IDSUB,14,0,23
CNSHA-BDCGP,17,12,318
CNSHA-CNSHK,7,12,14
CNSHA-CNTAO,4,0,374
CNSHA-CNTXG,8,0,204
CNSHA-IDBLW,28,0,1
CNSHA-IDJKT,15,0,698
CNSHA-IDSUB,19,12,139
CNSHA-MMRGN,23,0,4
CNSHA-MMRGN,23,12,2
CNSHA-MMRGN,27,0,9
CNSHA-MYPEN,15,0,56
CNSHA-MYPEN,15,12,141
CNSHA-MYPKG,9,12,74
CNSHA-MYPKG,12,12,82
CNSHA-MYPKG,13,0,461
CNSHA-PHBTG,20,12,4
CNSHA-PHCEB,23,0,6
CNSHA-PHCGY,25,0,1
CNSHA-PHDVO,20,12,2
CNSHA-PHDVO,21,12,6
CNSHA-PHMNL,9,12,481
CNSHA-SGSIN,10,12,91
CNSHA-SGSIN,19,12,177
CNSHA-THBKK,12,0,152
CNSHA-THLCH,9,12,338
CNSHA-THLCH,10,0,743
CNSHA-THLCH,26,12,1
CNSHA-THLCH,32,0,2
CNSHA-TWKEL,3,0,361
CNSHA-TWKHH,4,12,131
CNSHA-TWTXG,3,12,151
CNSHA-VNHPH,15,0,78
CNSHA-VNNGH,25,12,37
CNSHA-VNSGN,8,12,451
CNSHA-VNVUT,20,12,8
CNSHK-BDCGP,14,12,432
CNSHK-HKHKG,1,12,9
CNSHK-HKHKG,2,0,11
CNSHK-IDJKT,8,12,58
CNSHK-IDJKT,15,0,156
CNSHK-IDSRG,10,0,66
CNSHK-IDSUB,11,12,82
CNSHK-JPNGO,8,0,11
CNSHK-JPNGO,12,0,1
CNSHK-JPOSA,9,0,1
CNSHK-JPTYO,6,12,24
CNSHK-JPTYO,10,12,5
CNSHK-JPTYO,14,0,1
CNSHK-JPUKB,10,0,6
CNSHK-JPUKB,14,12,1
CNSHK-JPYOK,7,0,10
CNSHK-MMRGN,20,12,10
CNSHK-MMRGN,23,0,3
CNSHK-MMRGN,27,12,11
CNSHK-MYPEN,8,12,200
CNSHK-MYPKG,6,12,160
CNSHK-MYPKG,10,12,239
CNSHK-PHBTG,5,12,112
CNSHK-PHCEB,8,0,123
CNSHK-PHCGY,10,0,120
CNSHK-PHDVO,10,12,108
CNSHK-PHDVO,12,0,54
CNSHK-PHGES,29,12,1
CNSHK-PHMNL,6,0,186
CNSHK-PHMNL,8,12,413
CNSHK-PHSFS,7,0,101
CNSHK-SGSIN,13,0,46
CNSHK-SGSIN,15,12,6
CNSHK-SGSIN,17,12,39
CNSHK-SGSIN,21,12,29
