Port Departure,Port Arrival,Sailing Distance (Nautical miles)
AEAJM,AEDXB,154.36
AEAJM,AEFJR,229.042
AEAJM,AEJEA,131.146
AEAJM,AEKHL,151.154
AEAJM,AEKLF,181.845
AEAJM,AEQIW,62.636
AEAJM,AERKT,65.8205
AEAJM,AESHJ,6.46862
AEAJM,AGSJO,8149.48
AEAJM,AIRBY,8157.53
AEAJM,ALDRZ,3923.45
AEAJM,AN8OJ,8177.54
AEAJM,ANKRA,8607.14
AEAJM,ANPHI,8108.77
AEAJM,ANSAB,8100.24
AEAJM,ANWIL,8634.6
AEAJM,AOCAB,6607.34
AEAJM,AOLAD,6461.12
AEAJM,AOLOB,6242.53
AEAJM,AOMSZ,6043.48
AEAJM,AOSOQ,6585.56
AEAJM,ARBUE,8249.89
AEAJM,ARLPG,8426.71
AEAJM,ARUSH,8425.14
AEAJM,ASPPG,9178.57
AEAJM,AUADL,6350.13
AEAJM,AUBEL,6656.01
AEAJM,AUBNE,7530.1
AEAJM,AUBWT,6633.66
AEAJM,AUDAM,4645.43
AEAJM,AUDRW,5203.12
AEAJM,AUEPR,5459.11
AEAJM,AUFRE,4990.2
AEAJM,AUMEL,6542.99
AEAJM,AUMKY,7985.82
AEAJM,AUNTL,7107.73
AEAJM,AUPHE,4747.12
AEAJM,AUPKL,7017.32
AEAJM,AUPTL,7818.34
AEAJM,AUSYD,7039.6
AEAJM,AUTSV,7649.77
AEAJM,AWBAR,8655.63
AEAJM,AWORJ,8655.55
AEAJM,BBBGI,8100.65
AEAJM,BDCGP,3200.81
AEAJM,BDMGL,3116.51
AEAJM,BEANR,6184.24
AEAJM,BEZEE,6184.24
AEAJM,BGBOJ,4092.72
AEAJM,BGVAR,4119.69
AEAJM,BHKBS,371.474
AEAJM,BJCOO,7391.35
AEAJM,BNMUA,4213.31
AEAJM,BRBEL,8088.36
AEAJM,BRFOR,7894.28
AEAJM,BRIBB,8138.46
AEAJM,BRIGI,8057.8
AEAJM,BRIOA,8184.76
AEAJM,BRIQI,8041.88
AEAJM,BRITJ,8170.38
AEAJM,BRMAO,8085.23
AEAJM,BRMCP,8089.2
AEAJM,BRNAT,7887.39
AEAJM,BRNVT,8170.67
AEAJM,BRPEC,7889.84
AEAJM,BRPNG,8189.62
AEAJM,BRREC,8027.8
AEAJM,BRRIG,8188.8
AEAJM,BRRIO,8035.63
AEAJM,BRSAN,8090.45
AEAJM,BRSFS,8184.62
AEAJM,BRSSA,8112.56
AEAJM,BRSSZ,8143.98
AEAJM,BRSTM,8082.83
AEAJM,BRSUA,8029.82
AEAJM,BRVCO,8078.61
AEAJM,BRVIX,7949.58
AEAJM,BSFPO,8653.28
AEAJM,BSNAS,8592.19
AEAJM,BZBZE,9353.27
AEAJM,CAHAL,7530.33
AEAJM,CAMTR,7657.64
AEAJM,CANWP,7188.69
AEAJM,CAPRR,10464.7
AEAJM,CASJB,7797.39
AEAJM,CAVAN,10516.0
AEAJM,CDBNW,6589.78
AEAJM,CDBOA,6570.03
AEAJM,CDMAT,6569.97
AEAJM,CGPNR,6639.88
AEAJM,CIABJ,7477.77
AEAJM,CISPY,7387.29
AEAJM,CKRAR,9546.94
AEAJM,CLANF,10621.9
AEAJM,CLARI,10930.1
AEAJM,CLCNL,9859.55
AEAJM,CLCQQ,10283.7
AEAJM,CLIQQ,10826.8
AEAJM,CLLQN,9861.41
