PortID,Longitude,Latitude,MaxDraft,TranshipmentCost,StorageCost,DaysFree,TranshipmentCapacity,MaxDailyPortCall
ASPPG,-170.7025,-14.27806,100.0,5000.0,1000000.0,7,0,2
AUADL,138.6,-34.93,100.0,475.0,22.41,5,0,4
AUBNE,153.0166667,-27.5,100.0,235.98,22.63,10,0,8
AUDAM,116.7,-20.6666667,100.0,5000.0,1000000.0,7,0,2
AUDRW,130.8333333,-12.4666667,100.0,608.19,1000000.0,7,0,3
AUFRE,115.77,-32.05,100.0,481.18,22.63,10,0,5
AUGLT,151.25,-23.85,100.0,5000.0,1000000.0,7,0,2
AUMEL,144.9666667,-37.8166667,100.0,326.71,22.63,10,0,9
AUPHE,118.5666667,-20.3166667,100.0,5000.0,1000000.0,7,0,2
AUSYD,151.2166667,-33.8833333,100.0,283.06,22.63,10,0,7
AUTSV,146.8,-19.25,100.0,359.31,1000000.0,7,0,3
BDCGP,91.8033333,22.3636111,9.5,107.61,1000000.0,7,0,13
BDMGL,89.617667,22.46667,100.0,5000.0,1000000.0,7,0,1
CNBAY,122.1,40.283333,100.0,5000.0,1000000.0,7,0,15
CNBHY,109.1,21.483334,100.0,5000.0,1000000.0,7,0,3
CNCAN,113.25,23.1166667,100.0,5000.0,1000000.0,7,0,10
CNCGU,120.73805,31.644167,100.0,5000.0,1000000.0,7,0,5
CNCWN,113.8833333,22.4666667,100.0,5000.0,1000000.0,7,0,22
CNDGG,113.7447222,23.0488889,100.0,5000.0,1000000.0,7,0,7
CNDLC,121.6022222,38.9122222,14.4,53.89,0.96,15,0,24
CNDOU,113.2936111,22.2105556,100.0,5000.0,1000000.0,7,0,7
CNFAN,108.3833333,21.7833333,100.0,5000.0,1000000.0,7,0,6
CNFUG,119.37945,25.725,15.0,43.79,0.93,14,0,18
CNFUZ,116.33,28.02,100.0,43.79,0.93,14,0,18
CNHAK,110.3416667,20.0458333,100.0,5000.0,1000000.0,7,0,11
CNJGY,119.32,25.47,100.0,5000.0,1000000.0,7,0,14
CNJNZ,121.1416667,41.1077778,100.0,5000.0,1000000.0,7,0,8
CNLYG,119.4425,34.7319444,16.0,48.89,0.93,14,0,15
CNMAA,118.4833333,31.7333333,100.0,5000.0,1000000.0,7,0,5
CNMMI,110.9,21.65,100.0,5000.0,1000000.0,7,0,2
