portid,manin,manout
BDCGP,3.0,3.0
CNDLC,1.164062500001819,1.522395833331757
CNLYG,1.694444444434338,2.013541666663513
CNNGB,3.0,2.772280127801802
CNNSA,3.0,3.0
CNQZJ,1.06025641026029,1.179487179490164
CNSHA,3.0,3.0
CNSHK,1.0551301403261448,2.157765331294627
CNSWA,1.105448717938719,0.999358974369198
CNTAO,1.2896814064343496,1.524424983551688
CNTXG,2.019503308831375,2.042957609910909
CNXMN,1.1988319088104467,1.2550345950408144
CNYPG,0.8981481481459928,0.8555555555891861
HKHKG,1.4394071310334628,1.4451907130890906
IDBLW,1.469298245633438,1.705263157902089
IDJKT,1.0969871795045967,1.411659544163055
IDSRG,0.9803030303234912,1.022727272743148
IDSUB,2.995098039203815,2.594705882346641
JPHKT,0.9189814814841762,1.122685185192192
JPMOJ,2.232500000030267,1.245833333343036
JPNGO,2.8873487693045345,3.0
JPOIT,0.9803921568638866,0.9068627451060283
JPOMZ,1.262499999997089,0.8444444444321558
JPOSA,3.0,2.283333333342203
JPSBS,0.7784313725492479,0.6176470588132577
JPTYO,3.0,2.104527777771873
JPUKB,3.0,3.0
JPYKK,3.0,3.0
JPYOK,3.0,2.647133757957187
KHKOS,0.8229166666787937,1.150694444440888
KRICH,1.1363636363517315,0.9962121211733161
KRKAN,2.1284645061862344,1.5915972222229664
KRPUS,1.367597680110428,0.8273623900194409
MMRGN,3.0,3.0
MYPEN,1.158333333319752,2.862777777772863
MYPKG,1.495812234768854,2.1573820891197286
PHBTG,1.100000000005821,1.000000000007278
PHCEB,0.9484276729438212,1.01320754717772
PHCGY,0.9108695652216938,1.0000000000063285
PHDVO,3.0,0.9924863388131632
PHGES,0.6744444444542751,0.9999999999767177
PHMNL,1.7499762329176545,1.2034578521799133
PHSFS,0.7067567567573863,0.9950450450320413
SGSIN,3.0,3.0
THBKK,2.8731082375487516,3.0
THLCH,0.7374691322879512,1.3242684570740442
TWKEL,0.5406272022574639,0.6942389006300649
TWKHH,1.0745303274053872,0.9398819108887019
TWTXG,0.5230392157219982,0.7857843137188706
VNC8Q,1.252962962960979,1.255555555554262
VNDAD,0.9215686274350026,1.175490196058116
VNHPH,2.39659801136046,2.9143134469737557
VNNGH,0.9157407407474243,1.391666666682188
VNSGN,3.0,3.0
VNUIH,0.8468253968083965,1.016666666654471
VNVUT,2.279896541979706,2.2908871881731367
