portid,1,2,3,4,5,6,7,8,9,10,11
BDCGP,7000.0,7000.0,9063.514,13237.760857142861,17952.4015,21750.0,21750.0,21750.0,21750.0,21750.0,21750.0
CNDLC,4800.0,4800.0,5000.0,5653.585000000001,6319.893734234235,8609.116818181821,10004.17125,10806.357337662339,53907.66,53907.66,53907.66
CNLYG,1800.0,1800.0,1900.0,2150.0,3403.7146774193548,5786.115,6056.54,7948.28290625,2178.62,2171.745,2171.745
CNNGB,11057.0,6000.0,6063.190555555555,6275.713148148148,7163.770666666666,8525.94375,12615.80715909091,13448.525555555556,20982.329719696972,24005.99367346939,37662.39276844072
CNNSA,3200.0,3200.0,3350.0,4076.210212550607,4762.017273809523,6200.532058823529,9705.61328125,11949.5796875,16755.46749011858,20975.81555555556,28393.919988073943
CNQZJ,5712.34445430946,5712.34445430946,6697.785534386854,7636.008487688727,8496.06348389804,10345.071070700615,12754.468855446026,14987.907967489662,21700.5676384856,23113.85751135182,23113.85751135182
CNSHA,5203.87,5714.4349999999995,6240.029999999999,6500.0,7815.494972826087,10850.0,13559.01171474359,16774.572500000002,25411.0534762309,26024.17166666666,26314.98056112969
CNSHK,7753.0,3600.0,4625.73,6600.356060606062,7975.759070898398,9937.986015037597,16846.413448660714,18440.571805555555,23613.484678400702,32560.84400000002,30018.736649361887
CNSWA,5800.0,5800.0,5900.0,6150.0,7152.934333333334,8632.347272727275,9198.8907,10294.4471875,10294.4471875,10294.4471875,10294.4471875
CNTAO,5313.41,4656.705,4250.0,5470.5725,6599.530795454545,8360.1155,11351.656531481483,13055.25,37836.52640441177,30393.51000000001,44201.31823089046
CNTXG,7553.55,6676.775,5900.0,6250.0,7657.966258680555,9564.807727272724,11700.683541666667,13482.89300986842,25409.9875,47498.13249999999,36677.634
CNXMN,5100.0,5100.0,5100.0,5400.0,6212.1641666666665,8500.0,10702.658166666668,11002.785,38080.985499999995,28392.4341025641,19271.423209876546
CNYPG,4275.0,4275.0,4631.4325,5551.773318289168,6253.33436742698,7609.629518465281,10661.691445982142,10661.691445982142,10661.691445982142,10661.691445982142,10661.691445982142
HKHKG,5800.0,5800.0,5900.0,6409.845774124256,7270.467184523809,6906.916578947368,9943.59575,11825.0,8041.17,15436.681,16118.334574314571
IDBLW,15700.0,15700.0,15850.0,16844.374999999993,18983.50111111111,18983.50111111111,18983.50111111111,18983.50111111111,18983.50111111111,18983.50111111111,18983.50111111111
IDJKT,9000.0,9000.0,9880.6325,12657.95875,17563.005625,21782.31075,32162.705624999995,39662.587772727275,40444.364004932555,41053.32333333333,50992.670000000006
IDSRG,3269.79,6634.895,10500.0,11750.0,13163.100961538461,14250.0,14250.0,14250.0,14250.0,14250.0,14250.0
IDSUB,12500.0,12500.0,12750.0,14040.005000000001,18086.825,22279.36307692308,31507.78546875,40208.68168470419,40208.68168470419,40208.68168470419,40208.68168470419
JPHKT,2058.8853125,2105.0051562500003,2245.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0
JPMOJ,4236.1825,4122.0912499999995,4565.720384615384,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0
JPNGO,6629.155000000002,7914.577500000001,9200.0,9688.005784313726,13057.015166666668,13900.0,14500.0,14500.0,14500.0,14500.0,14500.0
JPOIT,2582.150625,2068.1553125,1990.041923076923,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0
JPOMZ,14000.0,14000.0,14000.0,14750.0,17970.121166666668,20250.0,21250.0,21250.0,21250.0,21250.0,21250.0
JPOSA,8700.0,8700.0,8850.0,9156.291818181819,12519.484166666667,22198.82,23750.0,30080.06714285714,30080.06714285714,30080.06714285714,30080.06714285714
JPSBS,2372.453076923077,2286.2265384615384,2386.3466666666673,2725.0,2725.0,2725.0,2725.0,2725.0,2725.0,2725.0,2725.0
JPTYO,10200.0,10200.0,10200.0,10640.90887755102,13455.630791666668,11981.58217391304,13234.55,13234.55,13234.55,13234.55,13234.55
JPUKB,6748.135,8974.067500000001,11200.0,11605.611372549021,16504.71730701754,16195.848653846155,18750.0,18750.0,18750.0,18750.0,18750.0
JPYKK,8500.0,8500.0,8350.0,8350.0,9433.40375,9952.52152173913,12000.0,12000.0,12000.0,12000.0,12000.0
JPYOK,5250.0975,6225.04875,7200.0,7682.492551020407,8948.517666666668,9500.496666666666,14635.1575,20082.17904761905,30491.848749999997,28783.57875000001,43681.77759259259
KHKOS,15000.0,15000.0,16705.232445887443,19673.71,21750.0,21750.0,21750.0,21750.0,21750.0,21750.0,21750.0
KRICH,9000.0,9000.0,9000.0,9277.2242,10375.25903846154,12914.0075,18071.19125,21206.02,21206.02,21206.02,21206.02
KRKAN,2212.054117647059,3756.0270588235294,5300.0,5500.0,6418.186574074074,8750.0,11214.4125,18202.692,26265.1,25837.313,34838.080888888886
KRPUS,2970.212222222223,3085.106111111111,3860.8589999999995,6611.831666666666,9251.19875,11472.04,14337.765544871794,18921.903347457628,30388.565370370372,36443.51421686748,44213.666844241496
MMRGN,16500.0,16500.0,17372.743083333327,17900.0,18450.0,18450.0,18450.0,18450.0,18450.0,18450.0,18450.0
MYPEN,5100.0,5100.0,5100.0,5300.0,5952.0725,7250.0,8757.252674825175,10250.0,10250.0,10250.0,10250.0
MYPKG,2200.0,2200.0,2004.027916666667,2583.187780821918,2878.8173284313725,3376.5426742919385,5930.720141191046,7750.0,8461.902449392714,9267.771363636362,11319.201000000001
PHBTG,5200.0,5200.0,5400.0,5734.417692307692,6033.333333333333,10683.8529372517,15824.569232019792,24071.97,24071.97,24071.97,24071.97
PHCEB,2800.0,2800.0,4775.501666666667,7084.938096491229,7237.6393333333335,7237.6393333333335,7237.6393333333335,7237.6393333333335,7237.6393333333335,7237.6393333333335,7237.6393333333335
PHCGY,3100.0,3100.0,3200.0,3438.3415,4308.386666666666,4308.386666666666,4308.386666666666,4308.386666666666,4308.386666666666,4308.386666666666,4308.386666666666
PHDVO,5700.0,5700.0,5850.0,6984.5193724696355,9844.89213888889,12450.970833333335,16661.783333333333,19946.479583333334,19946.479583333334,19946.479583333334,19946.479583333334
PHGES,3336.476184986539,3336.476184986539,4269.498782355463,5227.067840254311,6590.96572622074,8357.288681236756,10266.433964219392,13186.574978230557,17664.504377342884,20008.25308749069,20008.25308749069
PHMNL,1594.08,4947.04,8300.0,8850.0,11373.363093220338,13820.390416666665,16434.989875,19996.86227083333,19996.86227083333,19996.86227083333,19996.86227083333
PHSFS,3900.0,3900.0,4050.0,4709.872794117648,5880.61275,8500.0,11373.085000000001,11373.085000000001,11373.085000000001,11373.085000000001,11373.085000000001
SGSIN,4216.534565217391,4491.521925465839,5240.427261904761,6563.517226277374,9301.56120926073,12874.18142857143,16330.724145833334,18368.478095238097,29903.736666666664,31325.16083333334,34564.265345956046
THBKK,4200.0,4200.0,4350.0,4777.812600000001,5525.0,5525.0,5525.0,5525.0,5525.0,5525.0,5525.0
THLCH,4000.0,4000.0,4816.277222222222,5827.255255474451,7817.23775,11945.77,16020.54325,18625.0,35755.72857142858,42880.66125,60759.27794117647
TWKEL,4200.0,4200.0,4350.0,4869.39705882353,6761.276858695652,10460.564999999999,11550.0,10368.3525,10368.3525,10368.3525,10368.3525
TWKHH,7049.0,4100.0,4300.0,4725.256354166667,5754.789246031745,7125.111746031746,8865.703958333334,10750.0,18093.665,21983.805,22772.748627450976
TWTXG,4100.0,4100.0,4300.0,4500.0,5537.554868421053,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
VNC8Q,8171.98671428571,8171.98671428571,8171.98671428571,8171.98671428571,10822.31,10822.31,10822.31,10822.31,10822.31,10822.31,10822.31
VNDAD,7200.0,7200.0,7550.0,8004.335999999999,9616.443035714285,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0
VNHPH,11000.0,11000.0,11250.0,11706.3475,14225.720577651518,21319.563333333335,27741.885,35419.6,51906.59833333334,60565.18538461538,60565.18538461538
VNNGH,8000.0,8000.0,8150.0,8694.560213675215,11055.201051282053,13350.0,13350.0,13350.0,13350.0,13350.0,13350.0
VNSGN,6500.0,6500.0,7963.9924999999985,10644.43603448276,17130.62622685185,19784.45,19784.45,19784.45,19784.45,19784.45,19784.45
