vrank,sizeclass,cost_charter,cons_canal,cons_port,cons_man,cons_sea,cons_10.0kn,cons_10.5kn,cons_11.0kn,cons_11.5kn,cons_12.0kn,cons_12.5kn,cons_13.0kn,cons_13.5kn,cons_14.0kn,cons_14.5kn,cons_15.0kn,cons_15.5kn,cons_16.0kn,cons_16.5kn,cons_17.0kn,cons_17.5kn,cons_18.0kn,cons_18.5kn,cap_nom
1,100 - 499,12420.25,8.5168,1.888,5.388,1.616,10.99615672,11.90021092,12.84340799,13.82628689,14.84937182,15.91317332,17.01818919,18.16490533,19.35379647,20.58532684,21.85995082,23.17811342,24.54025081,25.94679078,27.39815314,28.89475013,30.43698675,32.02526108,238
2,500 - 999,10694.57665,9.770833333,1.597777778,5.723888889,1.126111111,13.71942902,14.67499302,15.65321181,16.65388973,17.67684669,18.72191647,19.78894535,20.87779084,21.9883206,23.12041155,24.27394902,25.44882598,26.64494249,27.86220505,29.1005261,30.3598236,31.64002057,32.94104477,742
3,1000 - 1499,12263.91289,11.68658228,2.270126582,6.166455696,2.164683544,14.05097845,15.2073285,16.40926111,17.657181,18.95150305,20.29265129,21.681058,23.117163,24.60141292,26.13426071,27.71616506,29.34758999,31.02900449,32.7608821,34.54370066,36.37794204,38.26409182,40.20263917,1158
4,1500 - 1999,14307.61111,8.995288889,3.784555556,7.812444444,3.069444444,11.46992329,12.78645904,14.18768853,15.67536333,17.2512196,18.91697927,20.67435121,22.52503218,24.47070776,26.51305316,28.653734,30.89440699,33.23672057,35.68231546,38.23282528,40.88987697,43.6550913,46.53008327,1705
5,2000 - 2999,16575.30189,14.66017925,3.836886792,10.93603774,3.930188679,12.51908486,14.03804054,15.66187597,17.39297808,19.23369912,21.18635879,23.25324619,25.4366216,27.7387181,30.16174299,32.70787914,35.37928625,38.17810192,41.10644273,44.1664052,47.36006665,50.68948606,54.15670482,2421
6,3000 - 3999,17673.80952,20.18802381,5.546428571,14.19238095,4.566904762,16.5849234,18.60888649,20.7747117,23.08590472,25.54593774,28.15825166,30.92625818,33.85334158,36.9428604,40.19814888,43.6225184,47.21925867,50.99163885,54.94290865,59.07629927,63.39502424,67.90228034,72.60124826,3461
7,4000 - 5099,20682.23684,20.34905263,3.841578947,16.33592105,5.829210526,16.5009515,18.62863031,20.91593193,23.36722131,25.98681766,28.77899801,31.74800042,34.89802684,38.23324571,41.75779422,45.47578049,49.39128542,53.50836447,57.83104926,62.363349,67.10925187,72.07272625,77.25772186,4502
8,5100 - 7499,29797.65152,21.8685303,5.502121212,20.07909091,7.348030303,18.03695768,20.28057722,22.68346816,25.24934541,27.98186196,30.88461278,33.9611383,37.21492755,40.64942099,44.26801315,48.07405495,52.07085589,56.26168602,60.64977776,65.23832765,70.03049784,75.0294176,80.23818464,6193
9,7500 - 9999,42040.19608,28.50221569,6.791764706,26.40568627,9.39254902,23.38193844,26.20291477,29.21222438,32.4133566,35.80972533,39.40467406,43.20148045,47.20336036,51.41347155,55.83491702,60.47074799,65.3239667,70.3975289,75.6943462,81.2172882,86.96918443,92.95282619,99.17096825,8835
10,10000 - 12499,44575,31.50321875,7.274375,28.309375,9.2225,26.38419353,29.42771206,32.65951083,36.08222325,39.698417,43.51059849,47.5212169,51.73266772,56.14729601,60.76739933,65.59523037,70.63299941,75.88287651,81.34699357,87.02744617,92.92629532,99.04556903,105.3872638,10756
11,12500 - 15199,48000,24.81333333,18.1,27.33333333,11.84,21.25508578,24.28826192,27.58363591,31.1505441,34.99822916,39.13584544,43.5724638,48.31707593,53.37859838,58.76587616,64.48768614,70.55274005,76.96968737,83.74711795,90.8935644,98.41750444,106.3273629,114.6315139,13033
