linename,portid,sequence,eosp_utc_wd,eosp_utc_hr,time_wait,time_manin,staytime,time_manout,timetonext,vspeed,cap_nom,vrank,cap_eff,duration,moves,ops_prod,alloc,cap_scale,cap_reserve,svc_type,ignore_buffer_lb
BBX2CNC,CNNGB,1,1.0,17.0,26.0,3.0,14.0,3.0,11.0,14.0,2822,5,2547,35,800,57.142857142857146,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,CNSHA,2,,,25.0,4.0,12.0,4.0,46.0,13.8,2822,5,2547,35,1100,91.66666666666669,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,TWKHH,3,,,1.0,2.0,13.0,1.0,129.0,14.0,2822,5,2547,35,500,38.46153846153846,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,MYPKG,4,,,6.0,1.0,12.0,1.0,82.0,16.0,2822,5,2547,35,550,45.833333333333336,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,BDCGP,5,,,36.0,2.0,70.0,2.0,100.0,13.1,2822,5,2547,35,1550,22.142857142857142,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,MYPKG,6,,,17.0,1.0,30.0,1.0,55.0,14.4,2822,5,2547,35,1500,50.0,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX2CNC,VNSGN,7,,,7.0,4.0,12.0,3.0,104.0,14.3,2822,5,2547,35,680,56.66666666666666,1811.857142857143,0.9025513819985825,735.1428571428571,OWN,0
BBX3CNC,CNNSA,1,3.0,9.0,2.0,2.0,21.0,1.0,2.0,10.5,1952,4,1300,35,700,33.333333333333336,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,CNSHK,2,,,0.0,1.0,12.0,2.0,194.0,15.1,1952,4,1300,35,600,50.0,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,BDCGP,3,,,50.0,2.0,78.0,2.0,97.0,15.2,1952,4,1300,35,1800,23.07692307692308,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,SGSIN,4,,,55.0,2.0,14.0,1.0,12.0,14.9,1952,4,1300,35,1000,71.42857142857143,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,MYPKG,5,,,28.0,1.0,20.0,1.0,73.0,16.5,1952,4,1300,35,900,45.0,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,VNDAD,6,,,7.0,2.0,14.0,1.0,18.0,14.4,1952,4,1300,35,350,25.0,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,VNNGH,7,,,0.0,2.0,13.0,2.0,11.0,10.3,1952,4,1300,35,250,19.23076923076923,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBX3CNC,VNHPH,8,,,36.0,2.0,24.0,2.0,33.0,13.1,1952,4,1300,35,1350,56.25,1331.857142857143,0.6659836065573771,0.0,OWN,0
BBXCNC,SGSIN,1,3.0,20.0,0.0,2.0,26.0,1.0,11.0,16.0,2202,5,1642,14,1800,69.23076923076923,1303.3,0.745685740236149,338.70000000000005,FIX,1
BBXCNC,MYPKG,2,,,0.0,1.0,20.0,2.0,82.0,16.0,2202,5,1642,14,800,40.0,1303.3,0.745685740236149,338.70000000000005,FIX,1
BBXCNC,BDCGP,3,,,24.0,2.0,72.0,2.0,91.0,16.2,2202,5,1642,14,1520,21.11111111111111,1303.3,0.745685740236149,338.70000000000005,FIX,1
BMXCNC,CNDLC,1,1.0,2.0,8.0,2.0,17.0,1.0,15.0,12.3,2782,5,2292,35,1000,58.8235294117647,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNTXG,2,,,16.0,3.0,20.0,3.0,37.0,13.1,2782,5,2292,35,1400,70.0,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNTAO,3,,,36.0,2.0,14.0,1.0,70.0,13.1,2782,5,2292,35,1150,82.14285714285714,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNXMN,4,,,8.0,2.0,14.0,2.0,16.0,12.7,2782,5,2292,35,500,35.714285714285715,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNSWA,5,,,0.0,2.0,10.0,1.0,15.0,13.4,2782,5,2292,35,300,30.0,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNSHK,6,,,18.0,2.0,11.0,2.0,2.0,10.5,2782,5,2292,35,600,54.54545454545455,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,CNNSA,7,,,21.0,2.0,11.0,2.0,48.0,13.1,2782,5,2292,35,800,72.72727272727273,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,PHMNL,8,,,20.0,2.0,72.0,1.0,57.0,10.0,2782,5,2292,35,950,43.18181818181818,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,PHDVO,9,,,17.0,2.0,18.0,1.0,144.0,12.5,2782,5,2292,35,900,50.0,2490.5,0.8238677210639828,0.0,OWN,0
BMXCNC,KRPUS,10,,,17.0,2.0,12.0,1.0,40.0,12.7,2782,5,2292,35,700,58.333333333333336,2490.5,0.8238677210639828,0.0,OWN,0
CHN1CNC,CNSHA,1,4.0,8.0,30.0,6.0,25.0,5.0,11.0,14.0,5780,8,4123,28,2700,108.0,2285.875,,,VSA,0
CHN1CNC,CNNGB,2,0.0,13.0,25.0,3.0,19.0,3.0,26.0,14.5,5780,8,4123,28,1400,73.6842105263158,2285.875,,,VSA,0
CHN1CNC,CNQZJ,3,3.0,17.0,6.0,2.0,16.0,2.0,13.0,11.9,5780,8,4123,28,400,25.0,2285.875,,,VSA,0
